code|i94port_raw|i94port_state|i94port_bps|i94port_city
JAC|JACKSONVILLE, FL|FL|unknown|JACKSONVILLE
KEY|KEY WEST, FL|FL|unknown|KEY WEST
LEE|LEESBURG MUNICIPAL AIRPORT, FL|FL|unknown|LEESBURG MUNICIPAL AIRPORT
MLB|MELBOURNE, FL|FL|unknown|MELBOURNE
MIA|MIAMI, FL|FL|unknown|MIAMI
APF|NAPLES, FL #ARPT|unknown|unknown|NAPLES, FL #ARPT
OPF|OPA LOCKA, FL|FL|unknown|OPA LOCKA
ORL|ORLANDO, FL|FL|unknown|ORLANDO
PAN|PANAMA CITY, FL|FL|unknown|PANAMA CITY
PEN|PENSACOLA, FL|FL|unknown|PENSACOLA
PCF|PORT CANAVERAL, FL|FL|unknown|PORT CANAVERAL
PEV|PORT EVERGLADES, FL|FL|unknown|PORT EVERGLADES
PSJ|PORT ST JOE, FL|FL|unknown|PORT ST JOE
SFB|SANFORD, FL|FL|unknown|SANFORD
SGJ|ST AUGUSTINE ARPT, FL|FL|unknown|ST AUGUSTINE ARPT
SAU|ST AUGUSTINE, FL|FL|unknown|ST AUGUSTINE
FPR|ST LUCIE COUNTY, FL|FL|unknown|ST LUCIE COUNTY
SPE|ST PETERSBURG, FL|FL|unknown|ST PETERSBURG
TAM|TAMPA, FL|FL|unknown|TAMPA
WPB|WEST PALM BEACH, FL|FL|unknown|WEST PALM BEACH
ATL|ATLANTA, GA|GA|unknown|ATLANTA
BRU|BRUNSWICK, GA|GA|unknown|BRUNSWICK
AGS|BUSH FIELD - AUGUSTA, GA|GA|unknown|BUSH FIELD - AUGUSTA
SAV|SAVANNAH, GA|GA|unknown|SAVANNAH
AGA|AGANA, GU|GU|unknown|AGANA
HHW|HONOLULU, HI|HI|unknown|HONOLULU
OGG|KAHULUI - MAUI, HI|HI|unknown|KAHULUI - MAUI
KOA|KEAHOLE-KONA, HI|HI|unknown|KEAHOLE-KONA
LIH|LIHUE, HI|HI|unknown|LIHUE
CID|CEDAR RAPIDS/IOWA CITY, IA|IA|unknown|CEDAR RAPIDS/IOWA CITY
DSM|DES MOINES, IA|IA|unknown|DES MOINES
